sample_id,protein_system,pH,ionic_strength_mM,zeta_mV,radius_nm,temperature_C,replicate
S001,zein_caseinate,4,10,-11.91,309.93,25,1
S002,zein_caseinate,4,10,-12.08,325.61,25,2
S003,zein_caseinate,4,10,-8.27,303.17,25,3
S004,zein_caseinate,5.5,10,-18.53,100.08,25,1
S005,zein_caseinate,5.5,10,-17.34,110.2,25,2
S006,zein_caseinate,5.5,10,-15.64,117.04,25,3
S007,zein_caseinate,7,10,-33.04,98.82,25,1
S008,zein_caseinate,7,10,-35.61,95.67,25,2
S009,zein_caseinate,7,10,-32.07,94.72,25,3
S010,zein_caseinate,4,50,-25.36,365.53,25,1
S011,zein_caseinate,4,50,-24.31,337.58,25,2
S012,zein_caseinate,4,50,-26.48,368.12,25,3
S013,zein_caseinate,5.5,50,-20.38,90.4,25,1
S014,zein_caseinate,5.5,50,-21.35,91.27,25,2
S015,zein_caseinate,5.5,50,-22.6,90.14,25,3
S016,zein_caseinate,7,50,-2.75,95.03,25,1
S017,zein_caseinate,7,50,-22.88,99.61,25,2
S018,zein_caseinate,7,50,-23.14,91.03,25,3
S019,zein_caseinate,4,150,0,100000,25,1
S020,zein_caseinate,4,150,0,100000,25,2
S021,zein_caseinate,4,150,0,100000,25,3
S022,zein_caseinate,5.5,150,-18.5,111.74,25,1
S023,zein_caseinate,5.5,150,-17.66,109.21,25,2
S024,zein_caseinate,5.5,150,-18.97,108.73,25,3
S025,zein_caseinate,7,150,-16.92,123.62,25,1
S026,zein_caseinate,7,150,-17.1,124.74,25,2
S027,zein_caseinate,7,150,-16.21,122.72,25,3
